,Category,Subcategory,Item,Link,Quoted title,Price
18,01.1 Food,01.1.1 Bread and Cereals,Crumpets,https://www.tesco.com/groceries/en-GB/products/274026924,Warburtons Crumpets 9Pk,1.25
19,01.1 Food,01.1.1 Bread and Cereals,Crackers,https://www.tesco.com/groceries/en-GB/products/294342370,Nairns Gluten Free Cheese Oatcake 180G,2.00
20,01.1 Food,01.1.1 Bread and Cereals,Couscous,https://www.tesco.com/groceries/en-GB/products/305831517,Tesco Finest Moroccan Inspired Couscous 230G,2.35
21,01.1 Food,01.1.1 Bread and Cereals,Yorkshire puddings,https://www.tesco.com/groceries/en-GB/products/307749762,,
22,01.1 Food,01.1.2 Meat,Rump steak,https://www.tesco.com/groceries/en-GB/products/308477494,Tesco Finest Rump Steak 255G,4.80
23,01.1 Food,01.1.2 Meat,Mince,https://www.tesco.com/groceries/en-GB/products/261958659,Tesco Finest Aberdeen Angus Steak Mince 500G,4.25
24,01.1 Food,01.1.2 Meat,Roasting joint,https://www.tesco.com/groceries/en-GB/products/258139435,Tesco Medium Beef Roasting Joint With Basting Fat,10.40
25,01.1 Food,01.1.2 Meat,Frozen burgers,https://www.tesco.com/groceries/en-GB/products/309209270,,
26,01.1 Food,01.1.2 Meat,Loin chops lamb,https://www.tesco.com/groceries/en-GB/products/308110479,Tesco Lamb Loin Chops 550G,6.80
27,01.1 Food,01.1.2 Meat,Shoulder,https://www.tesco.com/groceries/en-GB/products/259541778,Tesco Large Pork Shoulder Joint,8.19
28,01.1 Food,01.1.2 Meat,Loin chops pork,https://www.tesco.com/groceries/en-GB/products/293861718,Tesco 2 Pork Loin Chops 450G,4.00
29,01.1 Food,01.1.2 Meat,Gammon,https://www.tesco.com/groceries/en-GB/products/267158491,T Unsmoked Boneless Gammon Joint,12.10
30,01.1 Food,01.1.2 Meat,Back bacon,https://www.tesco.com/groceries/en-GB/products/303088622,,
31,01.1 Food,01.1.2 Meat,Oven-ready joint,https://www.tesco.com/groceries/en-GB/products/304380245,Tesco Crackling Pork Loin Joint 637G,5.60
32,01.1 Food,01.1.2 Meat,Fresh/chilled whole chicken,https://www.tesco.com/groceries/en-GB/products/250527991,,
33,01.1 Food,01.1.2 Meat,Rotisserie cooked hot whole chicken,https://www.tesco.com/groceries/en-GB/products/306941570,Tesco Roast In The Bag Rotisserie Style Whole Chicken 1.5Kg,5.80
34,01.1 Food,01.1.2 Meat,Fresh chicken breasts,https://www.tesco.com/groceries/en-GB/products/250536058,,
35,01.1 Food,01.1.2 Meat,Pork sausages,https://www.tesco.com/groceries/en-GB/products/280010485,Tesco Finest 10 Pork Sausages 667G,4.70
36,01.1 Food,01.1.2 Meat,Cooked meats - eg ham,https://www.tesco.com/groceries/en-GB/products/281388341,,
37,01.1 Food,01.1.2 Meat,Canned meats,https://www.tesco.com/groceries/en-GB/products/309205889,Krakus Golonka Canned Cured Pork Meat 300G,2.00
38,01.1 Food,01.1.2 Meat,Chicken kievs,https://www.tesco.com/groceries/en-GB/products/309198897,Tesco Finest Roasted Garlic Chicken Kiev With Salted Butter 385G,4.80
39,01.1 Food,01.1.2 Meat,Continental deli type meat,https://www.tesco.com/groceries/en-GB/products/266452276,Tesco Continental Selection Platter 120G,2.65
40,01.1 Food,01.1.2 Meat,Meat pies,https://www.tesco.com/groceries/en-GB/products/254749399,Hollands Potato & Meat Pies 4 Pack,4.00
41,01.1 Food,01.1.2 Meat,Fresh diced/minced turkey,https://www.tesco.com/groceries/en-GB/products/309471343,,
42,01.1 Food,01.1.2 Meat,Frozen chicken nuggets,https://www.tesco.com/groceries/en-GB/products/301737929,,
43,01.1 Food,01.1.2 Meat,Liver,https://www.tesco.com/groceries/en-GB/products/310167616,Tesco Liver & Bacon 400G,3.00
44,01.1 Food,01.1.2 Meat,Meat based snacks,https://www.tesco.com/groceries/en-GB/products/307736190,Beretta Spianata Italiana 80G,2.00
45,01.1 Food,01.1.3 Fish,Fresh white fish fillets,https://www.tesco.com/groceries/en-GB/products/299598237,Bay Fishmongers White Fish Fillets 520G,2.50
46,01.1 Food,01.1.3 Fish,Canned tuna,https://www.tesco.com/groceries/en-GB/products/291046529,Encore Cat Tuna Loin 30G,1.70
47,01.1 Food,01.1.3 Fish,Frozen prawns,https://www.tesco.com/groceries/en-GB/products/291731507,Tesco Raw King Prawns 170G,3.10
48,01.1 Food,01.1.3 Fish,Fresh salmon fillets,https://www.tesco.com/groceries/en-GB/products/310127031,Mowi 2 Scottish Salmon Fillets 230G,5.00
49,01.1 Food,01.1.3 Fish,Fish fingers,https://www.tesco.com/groceries/en-GB/products/302861774,Birds Eye 30 Omega 3 Fish Fingers 840G,5.00
50,01.1 Food,01.1.3 Fish,Frozen breaded/battered white fish,https://www.tesco.com/groceries/en-GB/products/299624340,Hearty Food Co 4 Battered White Fish Fillets 500G,2.35
51,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Full-fat and semi-skimmed milk - shop-bought and delivered,https://www.tesco.com/groceries/en-GB/products/252207537,Tesco Semi Skimmed Milk 1.13L/2 Pints,1.30
52,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Flavoured milk,https://www.tesco.com/groceries/en-GB/products/309454715,Mighty Shake Chocolate 330Ml,1.60
53,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Fresh cream,https://www.tesco.com/groceries/en-GB/products/262479736,Tesco Fresh Double Cream 600Ml,2.30
54,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Chilled pot dessert,https://www.tesco.com/groceries/en-GB/products/292727834,Pots & Co Little Pots Of 70% Chocolate 4X50g,3.50
55,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Eggs,https://www.tesco.com/groceries/en-GB/products/301810088,Purely Organic Eggs Mixed Weight 10 Pack,3.30
56,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Other regional cheeses,https://www.tesco.com/groceries/en-GB/products/299770160,Tesco Finest Vintage Red Leicester Bite Cheese 200G,2.85
57,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Parmesan,https://www.tesco.com/groceries/en-GB/products/255081368,Tesco Grated Parmigiano Reggiano 100G,2.50
58,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Powdered baby formula,https://www.tesco.com/groceries/en-GB/products/307147702,,
59,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Non-dairy milk drink,https://www.tesco.com/groceries/en-GB/products/258126721,Delamere Dairy Sterilised Longlife Whole Milk 1L,1.45
60,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Yoghurt,https://www.tesco.com/groceries/en-GB/products/291729465,The Collective Passion Fruit Yogurt 450G,2.80
61,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Fromage frais,https://www.tesco.com/groceries/en-GB/products/285019796,Petits Filous Strawberry & Raspberry Fromage Frais 6 X 47G,1.85
62,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Cheddar - home-produced,https://www.tesco.com/groceries/en-GB/products/305977270,Tesco Mature Cheddar 400G,3.00
63,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Soft continental cheese,https://www.tesco.com/groceries/en-GB/products/258015530,,
64,01.1 Food,"01.1.4 Milk, Cheese and Eggs",Cheese spread,https://www.tesco.com/groceries/en-GB/products/309167312,Philadelphia Plant-Based Almond & Oat Soft Cheese Alternative 150G,2.75
65,01.1 Food,01.1.5 Oils and Fats,Margarine/low fat spread,https://www.tesco.com/groceries/en-GB/products/260977655,Tesco Buttery Spread 30% Less Fat 500G,1.10
66,01.1 Food,01.1.5 Oils and Fats,Block butter,https://www.tesco.com/groceries/en-GB/products/290920510,Tesco British Salted Block Butter 250G ++,1.99
67,01.1 Food,01.1.5 Oils and Fats,Peanut Butter,https://www.tesco.com/groceries/en-GB/products/308103183,Snickers Creamy Peanut Butter Chocolate Bars 10 Pack 182G,2.00
68,01.1 Food,01.1.5 Oils and Fats,Olive oil,https://www.tesco.com/groceries/en-GB/products/254918424,Tesco Olive Oil 1L,5.10
69,01.1 Food,01.1.5 Oils and Fats,Spreadable butter,https://www.tesco.com/groceries/en-GB/products/303260389,,
70,01.1 Food,01.1.6 Fruit,Cooking apples,https://www.tesco.com/groceries/en-GB/products/253558033,,
71,01.1 Food,01.1.6 Fruit,Pears,https://www.tesco.com/groceries/en-GB/products/253561247,Large Pears Conference Class 1 Loose,0.47
72,01.1 Food,01.1.6 Fruit,Strawberries,https://www.tesco.com/groceries/en-GB/products/287377615,,
73,01.1 Food,01.1.6 Fruit,Oranges,https://www.tesco.com/groceries/en-GB/products/312575988,Phizz 3-In-1 Effervescent Tablets Orange X20 89G,8.00
74,01.1 Food,01.1.6 Fruit,Avocado pears,https://www.tesco.com/groceries/en-GB/products/257574583,Tesco Organic Ripe & Ready Avocados Minimum 2 Pack,2.60
75,01.1 Food,01.1.6 Fruit,Kiwi fruit,https://www.tesco.com/groceries/en-GB/products/253554285,Large Kiwi Fruit Class 1 Each,0.40
76,01.1 Food,01.1.6 Fruit,Melon,https://www.tesco.com/groceries/en-GB/products/302971880,Tesco Melon Medley 300G,2.25
77,01.1 Food,01.1.6 Fruit,Pineapple,https://www.tesco.com/groceries/en-GB/products/311782986,Au Vodka Pineapple Crush 70Cl,32.00
78,01.1 Food,01.1.6 Fruit,Lemon,https://www.tesco.com/groceries/en-GB/products/296983713,,
79,01.1 Food,01.1.6 Fruit,Dried fruit,https://www.tesco.com/groceries/en-GB/products/253024187,,
80,01.1 Food,01.1.6 Fruit,Salted/roasted peanuts,https://www.tesco.com/groceries/en-GB/products/300283810,Stockwell & Co Roasted & Salted Peanuts 200G,0.46
81,01.1 Food,01.1.6 Fruit,Dessert apples,https://www.tesco.com/groceries/en-GB/products/311941009,Mul/Rce Apple & Raspberry Low Fat Dessert 6X170g,3.75
82,01.1 Food,01.1.6 Fruit,Bananas,https://www.tesco.com/groceries/en-GB/products/297609638,,
83,01.1 Food,01.1.6 Fruit,Grapes,https://www.tesco.com/groceries/en-GB/products/260138290,Tesco Green Seedless Grapes Punnet 500G,2.00
84,01.1 Food,01.1.6 Fruit,Small oranges,https://www.tesco.com/groceries/en-GB/products/302595121,Pro Formula 20 Interdental Orange Brushes Small,2.50
85,01.1 Food,01.1.6 Fruit,Plums,https://www.tesco.com/groceries/en-GB/products/311430205,Tesco Perfectly Ripe Plums 325G,2.00
86,01.1 Food,01.1.6 Fruit,Grapefruit,https://www.tesco.com/groceries/en-GB/products/253561443,Red Grapefruit Each,0.55
87,01.1 Food,01.1.6 Fruit,Blueberries,https://www.tesco.com/groceries/en-GB/products/287357000,Tesco Blueberries 250G,3.00
88,01.1 Food,01.1.6 Fruit,Raspberries,https://www.tesco.com/groceries/en-GB/products/287377771,Tesco Finest Raspberries 150G,2.50
89,01.1 Food,01.1.6 Fruit,Fresh fruit snacking pot,https://www.tesco.com/groceries/en-GB/products/293427780,,
90,01.1 Food,01.1.6 Fruit,Canned fruit,https://www.tesco.com/groceries/en-GB/products/293427780,,
91,01.1 Food,01.1.7 Vegetables,"Loose and pre-packed potatoes - old, new and baking varieties",https://www.tesco.com/groceries/en-GB/products/253558183,Large Potatoes Baking Loose,0.21
92,01.1 Food,01.1.7 Vegetables,Prepared mashed potato,https://www.tesco.com/groceries/en-GB/products/267111051,Tesco Mashed Potato 425G,0.84
93,01.1 Food,01.1.7 Vegetables,Crisps - single and multi-packs,https://www.tesco.com/groceries/en-GB/products/311425990,Walkers Less Salt Lightly Salted Crisps 45G,0.90
94,01.1 Food,01.1.7 Vegetables,Corn based snacks,https://www.tesco.com/groceries/en-GB/products/307351159,Snack A Jacks Salt & Vinegar 5X19g,1.75
95,01.1 Food,01.1.7 Vegetables,Fresh tomatoes,https://www.tesco.com/groceries/en-GB/products/282997799,Tesco Salad Tomatoes 6 Pack,0.85
96,01.1 Food,01.1.7 Vegetables,Cauliflower,https://www.tesco.com/groceries/en-GB/products/297395359,Tesco Cauliflower Rice 4 Pack 600G,2.10
97,01.1 Food,01.1.7 Vegetables,Mushrooms,https://www.tesco.com/groceries/en-GB/products/253560219,Loose Closed Cup Mushrooms,0.06
98,01.1 Food,01.1.7 Vegetables,Lettuce,https://www.tesco.com/groceries/en-GB/products/253560041,,
99,01.1 Food,01.1.7 Vegetables,Broccoli,https://www.tesco.com/groceries/en-GB/products/305255289,Tesco Tenderstem Broccoli 200G,1.60
100,01.1 Food,01.1.7 Vegetables,Sweet potatoes,https://www.tesco.com/groceries/en-GB/products/253559199,Tesco Large Sweet Potatoes Loose Class 1,0.39
101,01.1 Food,01.1.7 Vegetables,Canned pulses,https://www.tesco.com/groceries/en-GB/products/256533772,Tesco Yellow Split Peas 500G,0.80
102,01.1 Food,01.1.7 Vegetables,Canned tomatoes,https://www.tesco.com/groceries/en-GB/products/267747957,Cirio Chopped Tomatoes 4X400g,4.00
103,01.1 Food,01.1.7 Vegetables,Frozen pre-prepared vegetables,https://www.tesco.com/groceries/en-GB/products/277221026,Birds Eye Steamfresh 4 Family Favourite Mix Vegetable 540G,2.75
104,01.1 Food,01.1.7 Vegetables,Vegetarian burger/grills,https://www.tesco.com/groceries/en-GB/products/255631064,Tesco 4 Vegetarian Cauliflower Cheese Grills 397G,2.00
105,01.1 Food,01.1.7 Vegetables,Vegetable stir fry,https://www.tesco.com/groceries/en-GB/products/301226624,Tesco Vegetable Stir Fry 320G,1.55
106,01.1 Food,01.1.7 Vegetables,Frozen chips,https://www.tesco.com/groceries/en-GB/products/292523862,Strong Roots Oven Baked Sweet Potato Fries 500G,3.30
107,01.1 Food,01.1.7 Vegetables,Vegetable crisps,https://www.tesco.com/groceries/en-GB/products/298179879,Tyrrells Mixed Root Vegetable Crisps 125G,2.30
108,01.1 Food,01.1.7 Vegetables,Peppers,https://www.tesco.com/groceries/en-GB/products/295673143,Tesco Sweet Peppers 500G,1.65
109,01.1 Food,01.1.7 Vegetables,Cabbage,https://www.tesco.com/groceries/en-GB/products/284276132,Tesco Shredded Savoy Cabbage 750G,1.20
110,01.1 Food,01.1.7 Vegetables,Carrots,https://www.tesco.com/groceries/en-GB/products/271223759,Tesco 4 Steam Bag Carrots Broccoli & Sweetcorn 640G,2.10
111,01.1 Food,01.1.7 Vegetables,Onions,https://www.tesco.com/groceries/en-GB/products/281426090,Tesco Brown Onions Minimum 3 Pack 385G,1.00
112,01.1 Food,01.1.7 Vegetables,Cucumbers,https://www.tesco.com/groceries/en-GB/products/253558972,Tesco Cucumber Whole Each,0.75
113,01.1 Food,01.1.7 Vegetables,Courgettes,https://www.tesco.com/groceries/en-GB/products/253554596,Courgettes Loose Class 1,0.52
114,01.1 Food,01.1.7 Vegetables,Pre-packed salad,https://www.tesco.com/groceries/en-GB/products/305431000,,
115,01.1 Food,01.1.7 Vegetables,Canned baked beans,https://www.tesco.com/groceries/en-GB/products/275154114,Heinz Beanz Barbecue 390G,1.80
116,01.1 Food,01.1.7 Vegetables,Canned sweetcorn,https://www.tesco.com/groceries/en-GB/products/299539429,Grower's Harvest Sweetcorn 907G,1.22
117,01.1 Food,01.1.7 Vegetables,Frozen peas,https://www.tesco.com/groceries/en-GB/products/311214709,,
118,01.1 Food,01.1.7 Vegetables,Vegetarian pickle,https://www.tesco.com/groceries/en-GB/products/256633210,Branston Small Chunk Pickle 360G,1.75
119,01.1 Food,01.1.7 Vegetables,Meat free sausages,https://www.tesco.com/groceries/en-GB/products/306655367,Richmond 8 Frozen Meat Free Sausages 336G,2.15
120,01.1 Food,"01.1.8 Sugar, Jam, Syrups, Chocolate and Confectionery",Sugar,https://www.tesco.com/groceries/en-GB/products/311262916,,
121,01.1 Food,"01.1.8 Sugar, Jam, Syrups, Chocolate and Confectionery",Honey,https://www.tesco.com/groceries/en-GB/products/310179032,Nestle Shreddies The Honey One Cereal 460G,2.70
122,01.1 Food,"01.1.8 Sugar, Jam, Syrups, Chocolate and Confectionery",Jam,https://www.tesco.com/groceries/en-GB/products/254947867,,
123,01.1 Food,"01.1.8 Sugar, Jam, Syrups, Chocolate and Confectionery",Ice cream,https://www.tesco.com/groceries/en-GB/products/311266209,Nuii New York Cookies & Cream Ice Cream 3X90ml,4.00
124,01.1 Food,"01.1.8 Sugar, Jam, Syrups, Chocolate and Confectionery","Various selected popular brands of sweets, chocolates, gum and mints",https://www.tesco.com/groceries/en-GB/products/253747627,Airwaves Menthol & Eucalyptus Gum 10 Pieces,0.65
125,01.1 Food,01.1.9 Food Products (not elsewhere covered),Soup,https://www.tesco.com/groceries/en-GB/products/258156783,Heinz Cream Of Tomato Soup 4 X 400G,3.99
126,01.1 Food,01.1.9 Food Products (not elsewhere covered),Ready cooked meals,https://www.tesco.com/groceries/en-GB/products/294136080,,
127,01.1 Food,01.1.9 Food Products (not elsewhere covered),"Various sauces - eg tomato ketchup, mayonnaise",https://www.tesco.com/groceries/en-GB/products/304408612,Heinz Saucy Mayonnaise Ketchup Sauce 425G,3.40
128,01.1 Food,01.1.9 Food Products (not elsewhere covered),Dried herbs,https://www.tesco.com/groceries/en-GB/products/301392459,Schwartz Mixed Herbs 11G,1.85
129,01.1 Food,01.1.9 Food Products (not elsewhere covered),Protein powder,https://www.tesco.com/groceries/en-GB/products/270915714,Phd Nutrition Diet Whey Belgian Chocolate 1Kg,27.00
130,01.2 Non-Alcoholic Beverages,"01.2.1 Coffee, Tea and Cocoa",Tea bags,https://www.tesco.com/groceries/en-GB/products/287194975,Pg Tips 80S Pyramid Teabags 232G,2.30
131,01.2 Non-Alcoholic Beverages,"01.2.1 Coffee, Tea and Cocoa",Coffee sachets,https://www.tesco.com/groceries/en-GB/products/261149488,Splenda Low Calorie Sweetener Granulated 125G,3.00
132,01.2 Non-Alcoholic Beverages,"01.2.1 Coffee, Tea and Cocoa",Coffee pods,https://www.tesco.com/groceries/en-GB/products/304493117,Starbucks House Blend Coffee Pods 10 Pack 57G,4.00
133,01.2 Non-Alcoholic Beverages,"01.2.1 Coffee, Tea and Cocoa",Flavoured tea,https://www.tesco.com/groceries/en-GB/products/268234641,Yorkshire Decaff Teabags 160S 500G,5.85
134,01.2 Non-Alcoholic Beverages,"01.2.1 Coffee, Tea and Cocoa",Instant coffee,https://www.tesco.com/groceries/en-GB/products/312221941,L'or. Artiste 8 Vigoroso Instant Coffee 95G,6.50
135,01.2 Non-Alcoholic Beverages,"01.2.1 Coffee, Tea and Cocoa",Hot chocolate drink,https://www.tesco.com/groceries/en-GB/products/265762705,Galaxy Instant Hot Chocolate Drink 370G,3.00
136,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Various pure fruit juices,https://www.tesco.com/groceries/en-GB/products/305980363,,
137,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Fruit drink,https://www.tesco.com/groceries/en-GB/products/281466266,Rubicon Passion 6X330ml,3.90
138,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Mineral water,https://www.tesco.com/groceries/en-GB/products/304783919,Actiph Alkaline Ionised Water 1 Litre,2.00
139,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Lemonade,https://www.tesco.com/groceries/en-GB/products/292215645,Lucozade Energy Zero Pink Lemonade 500Ml,1.69
140,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Various fizzy drinks,https://www.tesco.com/groceries/en-GB/products/308091598,Tango Sugar Free Dark Berry Soft Drink 2 Litre,1.85
141,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Energy drinks,https://www.tesco.com/groceries/en-GB/products/308460692,Purdeys Refocus Dark Fruits Energy Drink 4X250ml,4.00
142,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Squashes,https://www.tesco.com/groceries/en-GB/products/277971111,Squashies Drumsticks 160 G,1.15
143,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Fruit/vegetable juice smoothie,https://www.tesco.com/groceries/en-GB/products/277975101,Juice Burst Orange 500Ml,1.50
144,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Flavoured water,https://www.tesco.com/groceries/en-GB/products/309480712,Aqua Libra Water Sparkling Raspberry & Blackcurrant 4X330ml,3.35
145,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Cola,https://www.tesco.com/groceries/en-GB/products/297132631,Diet Coke 2L,1.99
146,01.2 Non-Alcoholic Beverages,"01.2.2 Mineral Waters, Soft Drinks and Juices",Mixer drinks,https://www.tesco.com/groceries/en-GB/products/272620610,Monster Origin Energy Drink 4 X 500Ml,5.25
147,02.1 Alcoholic Beverages (Off Sales),02.1.1 Spirits,Whisky,https://www.tesco.com/groceries/en-GB/products/285694951,Cardhu Gold Reserve Single Malt Whisky 70Cl,42.00
148,02.1 Alcoholic Beverages (Off Sales),02.1.1 Spirits,Brandy,https://www.tesco.com/groceries/en-GB/products/255814948,Martell V.S. Cognac 70Cl,30.00
149,02.1 Alcoholic Beverages (Off Sales),02.1.1 Spirits,Gin,https://www.tesco.com/groceries/en-GB/products/305973510,Gordon's Sicilian Lemon Gin 70Cl,17.50
150,02.1 Alcoholic Beverages (Off Sales),02.1.1 Spirits,Pre-mixed spirit drink,https://www.tesco.com/groceries/en-GB/products/308486137,Smirnoff Ice Tropical Vodka Drink 70Cl,3.00
151,02.1 Alcoholic Beverages (Off Sales),02.1.1 Spirits,Vodka,https://www.tesco.com/groceries/en-GB/products/311949807,Grey Goose Essences Watermelon & Basil Vodka Drink 700Ml,39.00
152,02.1 Alcoholic Beverages (Off Sales),02.1.1 Spirits,Rum,https://www.tesco.com/groceries/en-GB/products/310695618,Ron Santiago De Cuba Anejo 8 Year Old Rum 700Ml,24.00
153,02.1 Alcoholic Beverages (Off Sales),02.1.1 Spirits,Cream liqueur,https://www.tesco.com/groceries/en-GB/products/255249782,Baileys Original Irish Cream Liqueur 1L,22.00
154,02.1 Alcoholic Beverages (Off Sales),02.1.2 Wine,White wine,https://www.tesco.com/groceries/en-GB/products/309460667,Stoneleigh Sauvignon Blanc 750Ml,10.00
155,02.1 Alcoholic Beverages (Off Sales),02.1.2 Wine,Rose wine,https://www.tesco.com/groceries/en-GB/products/311800281,Canvino Naturally Sparkling Rose Wine 200Ml,2.50
156,02.1 Alcoholic Beverages (Off Sales),02.1.2 Wine,Sparkling wine,https://www.tesco.com/groceries/en-GB/products/309492905,J Vineyard California Cuvee Wine 75Cl,20.00
157,02.1 Alcoholic Beverages (Off Sales),02.1.2 Wine,Bottled flavoured cider,https://www.tesco.com/groceries/en-GB/products/307338908,Cranes Cider Raspberry & Pomegranate 500Ml,2.20
158,02.1 Alcoholic Beverages (Off Sales),02.1.2 Wine,Red wine,https://www.tesco.com/groceries/en-GB/products/309452579,Errazuriz Max Carmenere Wine 75Cl,12.00
159,02.1 Alcoholic Beverages (Off Sales),02.1.2 Wine,Fortified wine,https://www.tesco.com/groceries/en-GB/products/255247012,Tesco Full Cream Fortified British Wine 1L.,5.55
160,02.1 Alcoholic Beverages (Off Sales),02.1.2 Wine,Champagne,https://www.tesco.com/groceries/en-GB/products/255245832,,
161,02.1 Alcoholic Beverages (Off Sales),02.1.2 Wine,Canned apple cider,https://www.tesco.com/groceries/en-GB/products/256595496,Tesco Apple Cider 4X440ml Can,2.50
162,02.1 Alcoholic Beverages (Off Sales),02.1.3 Beer,Canned lager,https://www.tesco.com/groceries/en-GB/products/309743575,Budweiser Lager 18 X 440Ml,15.99
163,02.1 Alcoholic Beverages (Off Sales),02.1.3 Beer,Bottled lager,https://www.tesco.com/groceries/en-GB/products/306650770,Becks Lager Beer 20 X 275Ml,12.99
164,02.1 Alcoholic Beverages (Off Sales),02.1.3 Beer,Bottled speciality beer/ale,https://www.tesco.com/groceries/en-GB/products/260333277,Leffe Blonde 4X330ml Bottle Belgium Speciality,5.50
165,02.1 Alcoholic Beverages (Off Sales),02.1.3 Beer,Canned bitter,https://www.tesco.com/groceries/en-GB/products/253412701,Abbot Ale Strong Bitter 4X500ml Cans,4.99
166,02.1 Alcoholic Beverages (Off Sales),02.1.3 Beer,Canned stout,https://www.tesco.com/groceries/en-GB/products/259903883,Dg Dragon Stout 284Ml,1.50
167,02.2 Tobacco,02.2.1 Tobacco,Selected brand cigarettes,https://www.tesco.com/groceries/en-GB/products/305962863,,
168,02.2 Tobacco,02.2.1 Tobacco,Cigars,https://www.tesco.com/groceries/en-GB/products/295627251,Classic Fine Cigars 25 5 Pack,39.25
169,02.2 Tobacco,02.2.1 Tobacco,Hand rolling tobacco,https://www.tesco.com/groceries/en-GB/products/309206139,Sterling Rolling Tobacco Essential 30G,14.00
170,02.2 Tobacco,02.2.1 Tobacco,Electronic cigarette refills/liquid,https://www.tesco.com/groceries/en-GB/products/305962863,,
